,State Abbreviation,State Name,Number of Cities,Average Household Income 2020/2021,"Percent Change in Household Income, 1984-2019","Average Yearly Percent Change in Household Income, 1984-2019",MinWage,Average House Price 2020/2021,"Percent Change in Housing Prices, 2000-2019","Average Yearly Percent Change in Housing Prices, 2000-2019",Violent Crime Total,Property Crime Total,Property Crime Per Capita,Violent Crime Per Capita,Total Crime Per Capita,TotalPop,Men,Women,VotingAgeCitizen,Employed,Hispanic,White,Black,Native,Asian,Pacific,Income,IncomePerCap,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment,Population
0,AL,Alabama,12,57086,38.1439473,1.059554092,7.25,181360.2396,29.0012783,1.450063915,7335,31500,0.040915407,0.008174062,0.049089469,3140632,1505811,1634821,2349180,1404400,4.296666667,58.31333333,33.73,0.333333333,1.4025,0.04,47193.94417,25195.77,20.835,28.22416667,32.64583333,19.18666667,23.82666667,8.951666667,15.37833333,85.0775,8.679166667,0.695833333,1.675,1.145833333,2.721666667,22.7525,79.29333333,15.67666667,4.855,0.1775,8.275833333,106651.0833
1,AR,Arkansas,10,51966,48.05830217,1.334952838,11,181097.8532,56.958244,2.8479122,8738,33727.5,0.037526756,0.009153869,0.046680625,2160971,1057057,1103914,1517762,1006232,10.148,65.612,18.344,0.677,2.214,0.458,50088.524,26309.882,18.455,24.519,34.171,17.614,23.986,8.956,15.271,82.409,10.301,0.634,2.015,1.364,3.272,20.563,79.138,15.317,5.38,0.166,5.824,78701.1
2,AZ,Arizona,25,70520.5,40.35643342,1.121012039,12.8,338320.8147,87.16706264,4.358353132,26206.5,129323.5,0.019964661,0.003113509,0.02307817,62925084,31135125,31789959,42353143,28941770,28.58,59.4032,3.6256,3.1124,2.8344,0.1672,57270.7756,28569.214,17.1708,22.8296,34.126,20.4564,25.818,9.6288,9.974,76.0664,10.9844,1.8908,2.2768,2.7324,6.0456,24.422,78.9756,14.3008,6.5548,0.1692,7.4052,187658.64
3,CA,California,211,81426.5,31.42376272,0.872882298,14,735593.2819,151.9388816,7.59694408,130449.5,653639,0.020871353,0.003494721,0.024366074,758659064,374941838,383717226,474575054,357438428,38.20104265,39.15113744,5.433080569,0.339810427,13.36308057,0.352796209,74964.17351,34178.76649,14.92578199,18.61255924,37.06388626,18.78298578,23.24175355,9.439383886,11.47388626,74.01407583,10.64876777,4.678767773,2.508341232,2.49507109,5.654265403,29.04635071,78.07023697,13.53582938,8.220995261,0.173554502,7.837819905,131762.0995
4,CO,Colorado,21,86321.5,19.56240955,0.543400265,12.56,471409.0198,99.99255386,4.999627693,20085,125507,0.032929839,0.004400838,0.037330677,8925757,4455141,4470616,6360704,4638213,20.1347619,71.00714286,2.638095238,0.414285714,3.277619048,0.102857143,75414.93857,36491.26667,11.35666667,13.22190476,42.47190476,16.47809524,23.31142857,8.743333333,8.999047619,75.5952381,8.834761905,3.084761905,2.43952381,2.344285714,7.703809524,25.77428571,80.48380952,13.24333333,6.100952381,0.17047619,5.243333333,143442.0952
5,CT,Connecticut,15,82049.5,24.00900841,0.6669169,13,261925.7833,52.14179444,2.607089722,4293.5,24701,0.018845877,0.002879475,0.021725352,12174408,5909210,6265198,8591019,6056969,17.57,64.03866667,11.47266667,0.141333333,4.351333333,0.019333333,81368.114,42239.79,11.47066667,14.03533333,42.02266667,18.44133333,23.03866667,7.044666667,9.452,75.43066667,8.385333333,6.538,3.466666667,1.224,4.954666667,26.39466667,81.212,12.15666667,6.449333333,0.187333333,7.9,82654.46667
6,DC,District of Columbia,1,91488.5,94.131303,2.614758417,15.2,664461.5833,214.039591,10.70197955,6828,24459,0.034313203,0.00957891,0.043892112,672391,319046,353345,503112,357701,9.89,34.32,49.65,0.17,3.44,0.03,82936.3,49815.75,18.56,20.77,56.36,17.62,18.33,3.07,4.63,36.79,5.72,35.6,10.86,5.74,5.28,31.09,70.66,25.11,4.1,0.12,9.78,646449
7,DE,Delaware,2,70989.5,22.27163873,0.618656631,10.5,248453.2917,58.28420462,2.914210231,1403,4109.5,0.038290959,0.012014032,0.050304991,728181,352362,375819,531756,347242,8.395,60.54,24.34,0.365,3.455,0.025,61640.69,30407.76,14.105,18.85,37.3,19.435,23.385,8.475,11.41,79.735,8.895,3.24,2.76,1.245,4.13,24.96,79.42,16.795,3.64,0.15,6.86,54445.5
8,FL,Florida,68,60097,25.52712219,0.709086727,10,298960.5592,112.9165471,5.645827355,35475,171607,0.022968666,0.004442488,0.027411154,93966827,45678738,48288089,61836844,44416757,26.42044118,51.48970588,17.33617647,0.179117647,2.534852941,0.044852941,55886.60397,30999.93721,15.76911765,20.72382353,34.93588235,20.49588235,26.82970588,8.773382353,8.968235294,78.34794118,8.855441176,2.6625,1.732941176,2.398235294,6.002941176,26.74426471,82.27044118,11.05926471,6.491911765,0.176323529,7.4,100982.1471
9,GA,Georgia,14,61765,20.57139413,0.571427615,7.25,296673.5625,47.84260438,2.392130219,7693,33569,0.023524949,0.005153151,0.028678101,8414078,4077546,4336532,5805658,4126788,7.967142857,42.22357143,43.01642857,0.177857143,4.198571429,0.034285714,58289.45929,31255.15786,20.94785714,28.62928571,38.42571429,18.77785714,24.88928571,7.019285714,10.88785714,75.24642857,9.907142857,4.762142857,2.479285714,1.984285714,5.618571429,25.42071429,80.16642857,14.55785714,5.130714286,0.145,9.537857143,112863.6429
