,State Abbreviation,State Name,Number of Cities,Average Household Income 2020/2021,"Percent Change in Household Income, 1984-2019","Average Yearly Percent Change in Household Income, 1984-2019",MinWage,Average House Price 2020/2021,"Percent Change in Housing Prices, 2000-2019","Average Yearly Percent Change in Housing Prices, 2000-2019",Violent Crime Total,Property Crime Total,Property Crime Per Capita,Violent Crime Per Capita,Total Crime Per Capita,TotalPop,Men,Women,VotingAgeCitizen,Employed,Hispanic,White,Black,Native,Asian,Pacific,Income,IncomePerCap,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment,Population
0,AL,Alabama,12,-1.617626406,0.776410814,0.776410814,-1.263387054,-0.695369174,-1.285092875,-1.285092875,0.267440896,0.320816415,1.471263578,1.104536618,1.483838777,-0.541070122,-0.543472544,-0.538699607,-0.548543304,-0.550947857,-0.98109225,0.045303931,1.80779674,-0.119745921,-0.750986193,-0.378732259,-1.075281603,-0.89336137,1.035687361,1.159663406,-0.593900717,0.215667935,0.015470575,0.140109637,0.852963952,1.153775181,-0.4955661,-0.608394767,-0.622049707,-0.829615636,-1.335978935,-0.60940851,-0.244972613,0.550904225,-0.681883868,0.36206225,0.587902453,-0.069974371
1,AR,Arkansas,10,-2.113122013,1.900990375,1.900990375,0.07179896,-0.696241386,-0.742052015,-0.742052015,0.036362329,-0.027485916,1.185819255,1.383163187,1.316434565,-0.561299464,-0.561278947,-0.561278826,-0.580010031,-0.566240855,-0.639685842,0.417432241,0.534623326,0.07219655,-0.623014524,0.738266032,-0.905896445,-0.749543019,0.582850883,0.6573425,-0.385603986,-0.346210679,0.095399881,0.141638601,0.825269354,0.799122777,0.467604515,-0.618671711,-0.422062103,-0.631240706,-1.005009098,-1.071259335,-0.279403877,0.465474829,-0.391707199,0.171428244,-0.555116016,-0.149938684
2,AZ,Arizona,25,-0.317482706,1.02737184,1.02737184,0.712688246,-0.173608495,-0.15527078,-0.15527078,0.121336875,0.212358022,-0.293530782,-0.334527614,-0.323833743,0.458944747,0.464779342,0.453249416,0.523286511,0.418847247,0.435761847,0.100871648,-0.683306972,1.432400312,-0.525178881,-0.038822732,-0.48560511,-0.457890652,0.338509452,0.428305316,-0.391749775,0.669315247,1.014419683,0.379027981,-0.54148487,-0.043829569,0.873460521,-0.409786583,-0.268071649,0.613020198,0.663030768,-0.257245937,-0.315401543,0.224103136,0.25762528,0.224474228,0.182022507,0.161786541
3,CA,California,211,0.737961649,0.014144149,0.014144149,1.13994777,1.146985241,1.102868056,1.102868056,-0.062041576,-0.05844414,-0.217155271,-0.226122687,-0.234330021,0.937178643,0.943346237,0.931125605,0.920329716,0.918684896,0.997118623,-0.93169583,-0.53374008,-0.116128377,1.135169647,0.457135756,0.549777976,0.26623456,-0.08864435,-0.143411944,0.009486442,0.071441787,-0.277950131,0.312194786,-0.154477908,-0.316590184,0.674136033,0.053584683,-0.131879366,0.397221393,0.427682589,0.718209735,-0.516084765,0.042404403,1.178560502,0.296658248,0.383705279,0.001867717
4,CO,Colorado,21,1.211682547,-1.331282307,-1.331282307,0.627236341,0.268796818,0.093853744,0.093853744,0.068549942,0.282327215,0.798596099,0.031548745,0.666653677,-0.468653903,-0.465448743,-0.471730492,-0.471912569,-0.454182497,-0.056990529,0.69250788,-0.765021831,-0.074532924,-0.455284265,-0.210762592,0.576155867,0.564750293,-0.767730742,-0.874239646,0.748076263,-0.752044037,-0.242997773,0.066601728,-0.793046184,-0.106448532,-0.403161561,-0.211345394,-0.172357694,0.26011503,1.660276078,0.028003789,0.018908934,-0.027070372,0.006775774,0.245629472,-0.825816604,0.035283939
5,CT,Connecticut,15,0.798253399,-0.826907161,-0.826907161,0.783898167,-0.427557127,-0.835607551,-0.835607551,-0.192521795,-0.232858066,-0.387772039,-0.401079598,-0.41784876,-0.297235626,-0.30177829,-0.29280573,-0.278883768,-0.283705024,-0.206636105,0.337214593,-0.03397143,-0.226980512,-0.28596201,-0.43395865,0.924524065,1.306814955,-0.746040255,-0.763960618,0.686722426,-0.050622989,-0.379828336,-0.532752355,-0.676173505,-0.128320615,-0.670067158,0.362596429,0.431806535,-0.758540126,0.00694471,0.158866294,0.180319999,-0.285179576,0.199332011,0.525068139,0.412692974,-0.138628186
6,DC,District of Columbia,1,1.711726649,7.127024314,7.127024314,1.567207295,0.910532722,2.309122805,2.309122805,2.355795908,2.481486678,0.915124296,1.504031605,1.122645021,-0.358974311,-0.369211107,-0.34901409,-0.328687248,-0.326663865,-0.654739309,-1.178015205,3.125158027,-0.210969791,-0.429677165,-0.405454707,1.016291247,2.284779533,0.602828963,0.149078973,2.644816403,-0.344067013,-2.741923264,-1.935165637,-1.920366231,-5.263791974,-2.25294913,5.192815722,4.780556573,3.347775455,0.202599804,1.149294965,-2.158641594,2.79154547,-1.099185555,-0.591107781,1.289128861,1.474376093
7,DE,Delaware,2,-0.272094534,-1.023976003,-1.023976003,-0.106225842,-0.472341726,-0.71629633,-0.71629633,-0.030756411,-0.184309717,1.250192174,2.196504738,1.568312277,-0.495677751,-0.497830838,-0.493552482,-0.498389023,-0.498212448,-0.741967732,0.158832297,1.030785278,-0.10205966,-0.4273117,-0.41881593,-0.229886255,-0.220556656,-0.244812428,-0.111221366,0.041733226,0.304391879,-0.206090786,-0.028076458,-0.170962109,0.443739405,-0.367387501,-0.185544209,0.016146027,-0.739445213,-0.48900888,-0.143760783,-0.216895616,0.816535015,-1.35343559,-0.093801678,-0.0721439,-0.219333445
8,FL,Florida,68,-1.326232407,-0.654708389,-0.654708389,-0.284250644,-0.304447934,0.344891589,0.344891589,-0.08809877,-0.109751854,-0.040487231,0.043392832,-0.022710117,-0.044386595,-0.051679185,-0.037306301,-0.03808002,-0.051292787,0.309758562,-0.302604128,0.451227114,-0.205877462,-0.572416759,-0.365764013,-0.56660413,-0.144113758,0.071814956,0.142818686,-0.281141636,0.683421408,1.521940283,0.077204163,-0.80099651,0.259394738,-0.390880603,-0.281526992,-0.587968774,0.309170389,0.6373758,0.232610136,0.414934599,-0.545838667,0.222865854,0.34256005,0.179598323,-0.086193078
9,GA,Georgia,14,-1.164809228,-1.216833768,-1.216833768,-1.263387054,-0.312050257,-0.91911575,-0.91911575,-0.004345206,-0.029371847,0.006371478,0.245483399,0.06533715,-0.390627305,-0.394232571,-0.387100359,-0.391938699,-0.385310246,-0.766931815,-0.775045345,2.576237789,-0.206581471,-0.310052208,-0.394002229,-0.425993731,-0.111167867,1.0571604,1.214586648,0.195475509,0.069609439,0.548531681,-0.541707718,-0.305687605,-0.152806462,0.23370155,0.067441951,-0.148969788,-0.067226336,0.406216274,-0.046578196,-0.051441886,0.285160327,-0.529491767,-0.176686029,1.176244451,-0.052200369
