,State Abbreviation,Number of Cities,Average Household Income 2020/2021,"Percent Change in Household Income, 1984-2019","Average Yearly Percent Change in Household Income, 1984-2019",MinWage,Average House Price 2020/2021,"Percent Change in Housing Prices, 2000-2019","Average Yearly Percent Change in Housing Prices, 2000-2019",Violent Crime Total,Property Crime Total,Property Crime Per Capita,Violent Crime Per Capita,Total Crime Per Capita,TotalPop,Men,Women,VotingAgeCitizen,Employed,Hispanic,White,Black,Native,Asian,Pacific,Income,IncomePerCap,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment,Population
0,AL,12,-1.6176264056447982,0.776410814292416,0.7764108142924157,-1.263387054017375,-0.6953691735438174,-1.285092874905036,-1.2850928749050359,0.2674408955904719,0.32081641521891135,1.471263578463511,1.104536617606285,1.4838387769826418,-0.5410701220781952,-0.5434725441141451,-0.538699606847138,-0.5485433038105577,-0.5509478568903673,-0.981092249608897,0.04530393083038845,1.8077967403773616,-0.11974592076586256,-0.7509861934615382,-0.3787322594709721,-1.0752816033006294,-0.8933613695792076,1.0356873613664739,1.1596634055273742,-0.5939007168682219,0.21566793494313188,0.015470574751921698,0.1401096367596071,0.852963952156426,1.1537751813536812,-0.4955660996736271,-0.6083947670266399,-0.6220497066106961,-0.829615635613035,-1.3359789348858448,-0.6094085097203937,-0.24497261306985618,0.550904224719624,-0.6818838684919242,0.3620622500070037,0.5879024530012885,-0.06997437100815761
1,AR,10,-2.1131220132938933,1.900990374655756,1.900990374655756,0.0717989595849904,-0.6962413856065851,-0.74205201487186,-0.7420520148718597,0.036362329395166385,-0.027485915745822924,1.185819254868865,1.3831631870960377,1.3164345653394374,-0.5612994640006027,-0.5612789472425905,-0.5612788261592007,-0.5800100305680659,-0.566240855147949,-0.6396858417384892,0.4174322414088348,0.5346233263968576,0.07219654982688721,-0.6230145238679896,0.7382660316179808,-0.9058964452291388,-0.7495430188991382,0.5828508831384754,0.6573424997136634,-0.38560398589119993,-0.3462106791904502,0.0953998806757966,0.14163860125725486,0.8252693539587943,0.7991227774256028,0.4676045154206319,-0.618671711476987,-0.42206210346107476,-0.6312407058857287,-1.0050090979902593,-1.0712593353520998,-0.27940387735381533,0.46547482881937857,-0.3917071988676249,0.17142824371336318,-0.5551160160546539,-0.1499386843141745
2,AZ,25,-0.3174827062382028,1.0273718396985418,1.027371839698542,0.7126882461141261,-0.173608494627074,-0.1552707797707115,-0.1552707797707114,0.121336875473097,0.2123580221971616,-0.2935307818200287,-0.3345276143972093,-0.3238337427786002,0.4589447473002037,0.46477934221780765,0.45324941574647215,0.5232865110610314,0.41884724722258965,0.4357618470846887,0.1008716475031728,-0.6833069723377484,1.4324003118489521,-0.5251788814578385,-0.038822731656343444,-0.4856051101740457,-0.45789065192104056,0.33850945232318297,0.4283053160651501,-0.39174977513432047,0.6693152467188084,1.0144196826791796,0.3790279814151246,-0.541484869515014,-0.04382956926888153,0.8734605209835234,-0.40978658287543207,-0.2680716490358664,0.6130201978828548,0.6630307680550379,-0.25724593680779556,-0.31540154250219515,0.2241031361952,0.2576252801316639,0.22447422807333284,0.1820225074738307,0.16178654148308136
3,CA,211,0.7379616486487173,0.014144149250899402,0.0141441492508995,1.139947770466883,1.1469852409134957,1.1028680558872987,1.1028680558872985,-0.06204157612783768,-0.05844413983948573,-0.21715527138351043,-0.2261226869932969,-0.2343300208496636,0.9371786425005317,0.9433462365107802,0.931125604630451,0.9203297160872357,0.9186848957050865,0.997118622602489,-0.9316958295565122,-0.5337400799432892,-0.11612837681125043,1.135169647188249,0.45713575581135735,0.5497779761048917,0.2662345595306396,-0.0886443497653688,-0.14341194367831583,0.009486441513911283,0.07144178655352788,-0.2779501307777807,0.312194786061946,-0.1544779080246086,-0.3165901841269314,0.6741360328557551,0.05358468279780789,-0.13187936649620396,0.3972213934484473,0.42768258914688656,0.7182097351903557,-0.5160847648295834,0.04240440324978094,1.1785605023852403,0.29665824825985526,0.3837052788992942,0.0018677171362539973
4,CO,21,1.2116825469772956,-1.3312823074076148,-1.3312823074076143,0.6272363412435746,0.26879681780012327,0.09385374449387901,0.0938537444938791,0.06854994202578113,0.2823272150636635,0.7985960994460545,0.031548745231287735,0.6666536772272738,-0.4686539027583052,-0.46544874304614803,-0.47173049150961177,-0.4719125686753434,-0.45418249730524995,-0.05699052873373945,0.6925078803508254,-0.7650218305878647,-0.07453292367459542,-0.4552842646747552,-0.21076259163804684,0.5761558672218035,0.5647502930832724,-0.767730742052733,-0.8742396458660473,0.7480762628617399,-0.7520440365919662,-0.2429977725572017,0.0666017282188478,-0.7930461842880009,-0.10644853204315281,-0.40316156087067057,-0.2113453941249961,-0.17235769420633043,0.26011502987031804,1.6602760781106605,0.028003788532610457,0.01890893417078788,-0.027070372195846043,0.006775774203748197,0.2456294718359397,-0.8258166037911032,0.03528393872718921
5,CT,15,0.7982533993450818,-0.8269071609721494,-0.8269071609721494,0.7838981668395854,-0.42755712727765527,-0.8356075508327389,-0.8356075508327385,-0.1925217954825955,-0.2328580664961794,-0.38777203866432725,-0.40107959797997844,-0.41784876034857243,-0.2972356263106699,-0.30177829014007995,-0.29280572998931276,-0.2788837677675833,-0.28370502351082355,-0.20663610506066657,0.33721459316576435,-0.03397142978395835,-0.22698051151409138,-0.2859620098265708,-0.4339586502584642,0.9245240653912276,1.3068149550256032,-0.7460402552804676,-0.7639606183419363,0.6867224261214235,-0.05062298943217306,-0.379828335716782,-0.5327523548590878,-0.676173505469956,-0.12832061477155254,-0.6700671575722167,0.3625964292483313,0.43180653547676917,-0.7585401260315937,0.0069447097922448265,0.15886629369969293,0.18031999898694356,-0.2851795757498779,0.19933201138936035,0.5250681394464934,0.4126929738549932,-0.13862818559305792
6,DC,1,1.711726649462232,7.1270243141548,7.1270243141548,1.5672072948196396,0.9105327219997114,2.309122804833593,2.309122804833592,2.3557959080197244,2.48148667843135,0.915124295893075,1.504031605452961,1.1226450205143603,-0.3589743114205628,-0.3692111068122523,-0.3490140902738301,-0.3286872479795303,-0.3266638652720031,-0.6547393087369907,-1.178015204876433,3.1251580266486227,-0.2109697913676544,-0.429677164753152,-0.4054547066262102,1.0162912470859913,2.2847795331094747,0.6028289630602985,0.1490789733147784,2.6448164033443886,-0.3440670134307201,-2.741923263500588,-1.935165637163111,-1.9203662307089036,-5.263791974230768,-2.2529491302972597,5.192815722229226,4.780556572593044,3.3477754552450234,0.2025998041654073,1.1492949653672295,-2.1586415936590044,2.791545470296036,-1.099185555284964,-0.5911077814611994,1.2891288606710511,1.4743760930148464
7,DE,2,-0.2720945343656588,-1.0239760025578952,-1.0239760025578952,-0.1062258422286583,-0.47234172617206566,-0.716296329960552,-0.7162963299605518,-0.03075641125798794,-0.1843097169966624,1.2501921737991752,2.1965047376825777,1.5683122767523057,-0.49567775124959096,-0.49783083793234667,-0.4935524824341613,-0.49838902333122703,-0.49821244821601507,-0.7419677318484628,0.15883229741168264,1.0307852781859583,-0.10205966013898449,-0.427311699511127,-0.4188159302038293,-0.2298862549264135,-0.2205566555459555,-0.24481242790849672,-0.1112213656251679,0.041733226147114555,0.3043918788874981,-0.206090785811121,-0.028076457981650316,-0.17096210853551827,0.44373940545495155,-0.3673875007067101,-0.18554420898203788,0.016146026969713012,-0.739445213009714,-0.48900887983808716,-0.1437607830330256,-0.21689561644345123,0.8165350154937885,-1.3534355896224453,-0.09380167808648476,-0.072143899702826,-0.21933344475799443
8,FL,68,-1.326232406693348,-0.6547083893667225,-0.6547083893667229,-0.2842506440423071,-0.30444793400610004,0.3448915889984267,0.34489158899842665,-0.0880987697618118,-0.10975185350128097,-0.04048723053301439,0.043392831800780504,-0.0227101166546489,-0.044386594755578886,-0.05167918450291388,-0.037306301148060904,-0.03808001951861373,-0.05129278740640803,0.3097585622733601,-0.30260412845213475,0.45122711401995286,-0.20587746245650998,-0.5724167585243622,-0.36576401305740064,-0.5666041303240574,-0.14411375836835405,0.07181495639872224,0.14281868636417017,-0.28114163618100874,0.6834214080710685,1.521940282944277,0.07720416302719725,-0.8009965099880363,0.2593947376062132,-0.3908806029929473,-0.28152699205603365,-0.5879687742400427,0.30917038865401864,0.6373758004008521,0.2326101361527601,0.4149345990475675,-0.545838667231478,0.22286585408176607,0.342560049874662,0.1795983231060415,-0.08619307822384752
9,GA,14,-1.1648092282639162,-1.2168337677265533,-1.2168337677265535,-1.263387054017375,-0.31205025661460317,-0.9191157503609144,-0.9191157503609142,-0.004345206288261516,-0.029371846891366044,0.006371478243243622,0.24548339943107073,0.06533714959906563,-0.39062730465081597,-0.39423257070142165,-0.3871003585340394,-0.39193869854419855,-0.3853102464404512,-0.7669318147169634,-0.775045345096058,2.576237788601189,-0.20658147106173733,-0.3100522082278913,-0.3940022292739653,-0.4259937306078244,-0.11116786682084476,1.0571603996497945,1.214586647926471,0.1954755094353359,0.06960943853615546,0.5485316810553498,-0.5417077183453106,-0.30568760509143333,-0.15280646201581763,0.23370154971619334,0.06744195147644709,-0.14896978823575155,-0.06722633621904921,0.4062162738658149,-0.04657819648931037,-0.05144188632356815,0.2851603273707205,-0.5294917671654215,-0.17668602864893698,1.1762444512369163,-0.05220036913239556
10,HI,1,0.928901655268183,-0.1841938940143762,-0.1841938940143765,-0.2486456836795774,1.1878915849855132,0.4910619519220942,0.4910619519220942,0.5662225211329521,2.7945393499722897,0.3411007213371076,-0.5750485848070458,0.1409684139561791,-0.2181167875857083,-0.2072068737539971,-0.2286885468136591,-0.1827360241728357,-0.2246517287912158,-0.6874135006717227,-1.8189066275980807,-0.7921713258690594,-0.2444806009764759,5.430368728156605,21.132837700495703,1.1368115051342285,0.451379297088014,-1.1590474186167037,-1.2269879226437923,0.1346029302653798,0.8385219306868016,0.4485603286072285,-0.1074649992056704,-1.0121210227368804,-1.7498292386645689,2.5574600664534324,0.6487996369598825,2.1924817083038275,1.9747602808146227,-0.5671907310732647,0.4658527753481717,-2.2761216584905397,2.411507379173535,0.0615211232122329,0.0719670230384202,-1.0791127909382972,0.6201879198956871
11,IA,13,-0.1520916918881435,1.156884171908384,1.1568841719083849,-1.263387054017375,-0.6584833667168901,-0.6441648579027021,-0.6441648579027018,-0.16191348426966543,-0.16456945008013693,0.025561992544324418,-0.1391303403978579,-0.012824389499090807,-0.5527837222534433,-0.5519922002267147,-0.5535119209546827,-0.5676013130036017,-0.5438026038760004,-0.8062613856211325,1.1385439270296236,-0.43590580986305594,-0.1168817490044248,-0.4368342134341505,-0.068340757898591,-0.45218249535038,-0.3542884172817905,0.009048228680534825,-0.3905019376128187,-0.2749062401565656,-0.21187429158072563,-0.07469750289956928,-0.14437727820213775,0.8146903614795746,0.46791757917080756,-0.460809027842087,-0.37092554159248603,0.601630095919057,-0.2907497293637117,-0.7277179640827713,-1.5594856424623431,0.2516605782692575,0.10898813670922877,-0.8615170449260141,-0.6548649742015472,-0.9044711064540827,-0.14673093273452034
