city_id,State,County,State Abbreviation,city_name_id,city_state,city,City,state_id,county_name,state_name,lat,lng
0,New York,Queens County,NY,"New York, New York, Queens County","New York, New York",New York,New York,NY,Queens,New York,40.6943,-73.9249
1,California,Los Angeles County,CA,"Los Angeles, California, Los Angeles County","Los Angeles, California",Los Angeles,Los Angeles,CA,Los Angeles,California,34.1141,-118.4068
2,Texas,Harris County,TX,"Houston, Texas, Harris County","Houston, Texas",Houston,Houston,TX,Harris,Texas,29.786,-95.3885
3,Arizona,Maricopa County,AZ,"Phoenix, Arizona, Maricopa County","Phoenix, Arizona",Phoenix,Phoenix,AZ,Maricopa,Arizona,33.5722,-112.0892
4,Texas,Bexar County,TX,"San Antonio, Texas, Bexar County","San Antonio, Texas",San Antonio,San Antonio,TX,Bexar,Texas,29.4632,-98.5238
5,California,San Diego County,CA,"San Diego, California, San Diego County","San Diego, California",San Diego,San Diego,CA,San Diego,California,32.8313,-117.1222
6,Texas,Dallas County,TX,"Dallas, Texas, Dallas County","Dallas, Texas",Dallas,Dallas,TX,Dallas,Texas,32.7935,-96.7667
7,California,Santa Clara County,CA,"San Jose, California, Santa Clara County","San Jose, California",San Jose,San Jose,CA,Santa Clara,California,37.3012,-121.848
8,Texas,Travis County,TX,"Austin, Texas, Travis County","Austin, Texas",Austin,Austin,TX,Travis,Texas,30.3005,-97.7522
9,Florida,Duval County,FL,"Jacksonville, Florida, Duval County","Jacksonville, Florida",Jacksonville,Jacksonville,FL,Duval,Florida,30.3322,-81.6749
10,California,San Francisco County,CA,"San Francisco, California, San Francisco County","San Francisco, California",San Francisco,San Francisco,CA,San Francisco,California,37.7558,-122.4449
11,Ohio,Franklin County,OH,"Columbus, Ohio, Franklin County","Columbus, Ohio",Columbus,Columbus,OH,Franklin,Ohio,39.9862,-82.9855
12,Texas,Tarrant County,TX,"Fort Worth, Texas, Tarrant County","Fort Worth, Texas",Fort Worth,Fort Worth,TX,Tarrant,Texas,32.7817,-97.3474
13,Michigan,Wayne County,MI,"Detroit, Michigan, Wayne County","Detroit, Michigan",Detroit,Detroit,MI,Wayne,Michigan,42.3834,-83.1024
14,Texas,El Paso County,TX,"El Paso, Texas, El Paso County","El Paso, Texas",El Paso,El Paso,TX,El Paso,Texas,31.8476,-106.43
15,Tennessee,Shelby County,TN,"Memphis, Tennessee, Shelby County","Memphis, Tennessee",Memphis,Memphis,TN,Shelby,Tennessee,35.1087,-89.9663
16,Washington,King County,WA,"Seattle, Washington, King County","Seattle, Washington",Seattle,Seattle,WA,King,Washington,47.6211,-122.3244
17,Colorado,Denver County,CO,"Denver, Colorado, Denver County","Denver, Colorado",Denver,Denver,CO,Denver,Colorado,39.762,-104.8758
18,Massachusetts,Suffolk County,MA,"Boston, Massachusetts, Suffolk County","Boston, Massachusetts",Boston,Boston,MA,Suffolk,Massachusetts,42.3188,-71.0852
