,State Abbreviation,Average Household Income 2020/2021,"Percent Change in Household Income, 1984-2019","Average Yearly Percent Change in Household Income, 1984-2019",MinWage,City,"Percent Change in Housing Prices, 2000-2019","Average Yearly Percent Change in Housing Prices, 2000-2019",Average House Price 2020/2021,County Name,Violent Crime Total,Property Crime Total,Property Crime Per Capita,Violent Crime Per Capita,Total Crime Per Capita,State,County,TotalPop,Men,Women,VotingAgeCitizen,Employed,Hispanic,White,Black,Native,Asian,Pacific,Income,IncomePerCap,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment
0,AL,57086.0,38.14394730127803,1.0595540917021675,7.25,Arab,16.356970355554456,0.8178485177777228,158220.375,Marshall County,38.0,293.0,0.0347279838805262,0.0045039706056655,0.0392319544861917,Alabama,Marshall County,94738.0,46771.0,47967.0,65777.0,38456.0,12.02,82.82,2.34,0.46,0.57,0.03,41864.78,23080.89,20.69,31.57,29.09,15.37,21.73,12.91,20.93,84.46,10.9,0.31,1.37,0.41,2.51,24.31,78.91,13.81,7.11,0.18,6.73
1,AL,57086.0,38.14394730127803,1.0595540917021675,7.25,Attalla,63.605130968439546,3.180256548421977,71989.08333333333,Etowah County,16.0,207.0,0.0356650585802894,0.0027567195037904,0.0384217780840799,Alabama,Etowah County,103132.0,49738.0,53394.0,78727.0,41412.0,4.82,71.87,20.66,0.47,0.61,0.05,39977.67,20496.37,21.78,34.13,25.54,20.55,21.23,10.23,22.44,83.92,10.43,0.3,0.71,0.86,3.77,22.86,81.41,13.2,5.22,0.19,8.87
2,AL,57086.0,38.14394730127803,1.0595540917021675,7.25,Auburn,65.0884299532948,3.2544214976647403,270542.4166666666,Lee County,81.0,896.0,0.0127994514520806,0.0011570932674313,0.013956544719512,Alabama,Lee County,156597.0,77172.0,79425.0,117422.0,71677.0,3.8,66.91,23.94,0.11,3.54,0.0,44587.15,25076.63,26.5,25.28,39.35,17.68,23.02,7.39,12.55,83.3,8.13,0.94,3.35,1.27,3.0,21.69,77.37,18.32,4.18,0.12,6.34
3,AL,57086.0,38.14394730127803,1.0595540917021675,7.25,Bay Minette,72.00461886777232,3.600230943388616,162778.9166666667,Baldwin County,38.0,88.0,0.0091220068415051,0.0039390484088317,0.0130610552503368,Alabama,Baldwin County,203360.0,99527.0,103833.0,155376.0,89527.0,4.01,83.25,10.02,0.89,0.54,0.0,52732.23,29130.71,12.87,17.27,33.46,18.6,25.9,10.55,11.47,84.07,7.71,0.1,0.85,1.35,5.93,27.05,80.35,12.78,6.8,0.07,6.22
4,AL,57086.0,38.14394730127803,1.0595540917021675,7.25,Chickasaw,8.032492745268769,0.40162463726343844,71100.91666666667,Mobile County,23.0,106.0,0.0188679245283018,0.0040939836240655,0.0229619081523673,Alabama,Mobile County,414328.0,197968.0,216360.0,309967.0,173195.0,2.49,47.67,45.89,0.51,1.65,0.01,42101.5,22688.1,23.72,34.45,29.09,21.39,25.09,9.64,14.79,84.05,8.38,1.16,1.56,1.12,3.72,23.99,82.63,12.79,4.36,0.21,9.36
5,AL,57086.0,38.14394730127803,1.0595540917021675,7.25,Citronelle,68.09190586341174,3.404595293170587,131061.20833333334,Mobile County,8.0,62.0,0.0160331005947763,0.0020687871735195,0.0181018877682958,Alabama,Mobile County,414328.0,197968.0,216360.0,309967.0,173195.0,2.49,47.67,45.89,0.51,1.65,0.01,42101.5,22688.1,23.72,34.45,29.09,21.39,25.09,9.64,14.79,84.05,8.38,1.16,1.56,1.12,3.72,23.99,82.63,12.79,4.36,0.21,9.36
6,AL,57086.0,38.14394730127803,1.0595540917021675,7.25,Creola,63.07038284484504,3.153519142242252,159710.2083333333,Mobile County,3.0,38.0,0.018600097895252,0.0014684287812041,0.0200685266764561,Alabama,Mobile County,414328.0,197968.0,216360.0,309967.0,173195.0,2.49,47.67,45.89,0.51,1.65,0.01,42101.5,22688.1,23.72,34.45,29.09,21.39,25.09,9.64,14.79,84.05,8.38,1.16,1.56,1.12,3.72,23.99,82.63,12.79,4.36,0.21,9.36
7,AL,57086.0,38.14394730127803,1.0595540917021675,7.25,Cullman,60.19411961283061,3.0097059806415305,164989.8333333333,Cullman County,29.0,600.0,0.0359367513176808,0.0017369429803545,0.0376736942980354,Alabama,Cullman County,81703.0,40223.0,41480.0,62012.0,32072.0,3.94,92.68,1.1,0.42,0.64,0.0,41653.28,21719.78,16.43,19.35,28.34,14.61,23.46,13.94,19.62,88.39,8.29,0.09,0.65,0.68,1.87,27.37,81.68,11.6,6.28,0.44,6.36
8,AL,57086.0,38.14394730127803,1.0595540917021675,7.25,Daphne,43.7930605377535,2.189653026887675,237827.36363636365,Baldwin County,6.0,281.0,0.0098988973826047,0.0002113643569239,0.0101102617395286,Alabama,Baldwin County,203360.0,99527.0,103833.0,155376.0,89527.0,4.01,83.25,10.02,0.89,0.54,0.0,52732.23,29130.71,12.87,17.27,33.46,18.6,25.9,10.55,11.47,84.07,7.71,0.1,0.85,1.35,5.93,27.05,80.35,12.78,6.8,0.07,6.22
9,AL,57086.0,38.14394730127803,1.0595540917021675,7.25,Dauphin Island,71.50629239638037,3.575314619819019,357085.2083333333,Mobile County,6.0,35.0,0.0253623188405797,0.0043478260869565,0.0297101449275362,Alabama,Mobile County,414328.0,197968.0,216360.0,309967.0,173195.0,2.49,47.67,45.89,0.51,1.65,0.01,42101.5,22688.1,23.72,34.45,29.09,21.39,25.09,9.64,14.79,84.05,8.38,1.16,1.56,1.12,3.72,23.99,82.63,12.79,4.36,0.21,9.36
10,AL,57086.0,38.14394730127803,1.0595540917021675,7.25,Dora,-23.47501872329045,-1.1737509361645224,118574.91666666666,Walker County,14.0,74.0,0.0376974019358125,0.0071319409067753,0.0448293428425878,Alabama,Walker County,64927.0,31709.0,33218.0,49884.0,24280.0,2.64,88.97,6.23,0.09,0.34,0.0,38872.22,20489.67,21.71,31.79,25.21,17.44,23.19,14.94,19.21,86.3,9.92,0.24,1.2,0.94,1.4,30.04,80.58,14.02,5.33,0.06,10.52
11,AL,57086.0,38.14394730127803,1.0595540917021675,7.25,Fairhope,73.60802478202488,3.6804012391012444,347657.75,Baldwin County,13.0,109.0,0.0044549801773817,0.0005313279110638,0.0049863080884456,Alabama,Baldwin County,203360.0,99527.0,103833.0,155376.0,89527.0,4.01,83.25,10.02,0.89,0.54,0.0,52732.23,29130.71,12.87,17.27,33.46,18.6,25.9,10.55,11.47,84.07,7.71,0.1,0.85,1.35,5.93,27.05,80.35,12.78,6.8,0.07,6.22
12,AL,57086.0,38.14394730127803,1.0595540917021675,7.25,Foley,55.77410970286937,2.7887054851434683,216048.3333333333,Baldwin County,33.0,351.0,0.0158350627086528,0.0014887665794459,0.0173238292880988,Alabama,Baldwin County,203360.0,99527.0,103833.0,155376.0,89527.0,4.01,83.25,10.02,0.89,0.54,0.0,52732.23,29130.71,12.87,17.27,33.46,18.6,25.9,10.55,11.47,84.07,7.71,0.1,0.85,1.35,5.93,27.05,80.35,12.78,6.8,0.07,6.22
