,State Abbreviation,Average Household Income 2020/2021,"Percent Change in Household Income, 1984-2019","Average Yearly Percent Change in Household Income, 1984-2019",MinWage,City,"Percent Change in Housing Prices, 2000-2019","Average Yearly Percent Change in Housing Prices, 2000-2019",Average House Price 2020/2021,County Name,Violent Crime Total,Property Crime Total,Property Crime Per Capita,Violent Crime Per Capita,Total Crime Per Capita,State,County,TotalPop,Men,Women,VotingAgeCitizen,Employed,Hispanic,White,Black,Native,Asian,Pacific,Income,IncomePerCap,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment
0,AL,-1.244475062,0.682347997,0.682347997,-1.134370379,Arab,-1.424617217,-1.424617217,-0.530148385,Marshall County,-0.106717701,-0.127941161,1.084367653,0.597586243,1.070333251,Alabama,Marshall County,-0.437842388,-0.436455721,-0.439156855,-0.465184613,-0.45130875,-0.086532608,0.685022919,-0.667916558,-0.144963257,-0.672935284,-0.306177024,-1.134502602,-0.984912804,1.123733314,1.550604463,-0.862108831,-0.936320363,-0.71552672,1.015694204,1.491406229,0.947580884,0.771911285,-0.594825554,-0.742921874,-1.335937457,-1.240935991,-0.37499169,-0.154438791,0.004864317,0.328125392,0.041230447,-0.018374756
1,AL,-1.244475062,0.682347997,0.682347997,-1.134370379,Attalla,-0.357814097,-0.357814097,-0.754485121,Etowah County,-0.125265233,-0.149551021,1.143644575,0.023498758,1.024601294,Alabama,Etowah County,-0.432489099,-0.43261335,-0.432338027,-0.451916904,-0.447354914,-0.604170982,0.125321419,0.984711256,-0.141572719,-0.665083781,-0.228942678,-1.237517555,-1.297951706,1.325719948,1.872387574,-1.329393682,0.866033028,-0.94638158,0.192739611,1.791179545,0.862510104,0.539092527,-0.596985005,-1.132558911,-0.880311502,-0.555329267,-0.708591973,0.379058916,-0.150118152,-0.54584472,0.117470994,0.980908518
2,AL,-1.244475062,0.682347997,0.682347997,-1.134370379,Auburn,-0.3243231,-0.3243231,-0.237934738,Lee County,-0.070465707,0.023579138,-0.30277459,-0.5020842,-0.356385629,Alabama,Lee County,-0.398391692,-0.397085335,-0.399631024,-0.412272579,-0.406873577,-0.677503084,-0.128205471,1.280596585,-0.263632095,-0.089961132,-0.422028543,-0.98589186,-0.743187354,2.200377667,0.759973306,0.488410203,-0.132568175,-0.119921182,-0.6793466,-0.17223641,0.764836246,-0.600233307,-0.458780148,0.425989236,-0.465185632,-0.974311154,-0.97777289,-0.483073378,1.150718313,-1.02675949,-0.416212832,-0.200487128
3,AL,-1.244475062,0.682347997,0.682347997,-1.134370379,Bay Minette,-0.168164388,-0.168164388,-0.51828902,Baldwin County,-0.106717701,-0.179453037,-0.535400225,0.411971959,-0.406933246,Alabama,Baldwin County,-0.368568498,-0.368134807,-0.368963261,-0.373387434,-0.382998082,-0.662405299,0.707002065,0.024888115,0.000829886,-0.678823912,-0.422028543,-0.541262224,-0.252154299,-0.325381805,-0.246855879,-0.286887761,0.187540921,1.20980281,0.291002846,-0.386643815,0.886140876,-0.808284111,-0.640174023,-1.04990863,-0.384185462,0.619996545,0.255397809,0.152855888,-0.256827393,0.184775797,-0.797415566,-0.256521704
4,AL,-1.244475062,0.682347997,0.682347997,-1.134370379,Chickasaw,-1.612573289,-1.612573289,-0.756795749,Mobile County,-0.119363745,-0.174930043,0.08110132,0.462878419,0.151939346,Alabama,Mobile County,-0.234023248,-0.240650177,-0.227577185,-0.215003772,-0.271086882,-0.771684511,-1.111644454,3.260682858,-0.128010566,-0.460944683,-0.38341137,-1.121580356,-1.032487808,1.685219095,1.912610463,-0.862108831,1.158306551,0.835817937,0.011566771,0.272460429,0.882990107,-0.476393542,-0.411272229,-0.630753636,-0.61706095,-0.582535883,-0.448613821,0.639405797,-0.254286697,-0.943524242,0.269952087,1.20971637
5,AL,-1.244475062,0.682347997,0.682347997,-1.134370379,Citronelle,-0.25650845,-0.25650845,-0.600804857,Mobile County,-0.13200979,-0.185986251,-0.098222309,-0.202532486,-0.122393807,Alabama,Mobile County,-0.234023248,-0.240650177,-0.227577185,-0.215003772,-0.271086882,-0.771684511,-1.111644454,3.260682858,-0.128010566,-0.460944683,-0.38341137,-1.121580356,-1.032487808,1.685219095,1.912610463,-0.862108831,1.158306551,0.835817937,0.011566771,0.272460429,0.882990107,-0.476393542,-0.411272229,-0.630753636,-0.61706095,-0.582535883,-0.448613821,0.639405797,-0.254286697,-0.943524242,0.269952087,1.20971637
6,AL,-1.244475062,0.682347997,0.682347997,-1.134370379,Creola,-0.369888026,-0.369888026,-0.52627248,Mobile County,-0.136225138,-0.192016909,0.0641593,-0.399789904,-0.01138311,Alabama,Mobile County,-0.234023248,-0.240650177,-0.227577185,-0.215003772,-0.271086882,-0.771684511,-1.111644454,3.260682858,-0.128010566,-0.460944683,-0.38341137,-1.121580356,-1.032487808,1.685219095,1.912610463,-0.862108831,1.158306551,0.835817937,0.011566771,0.272460429,0.882990107,-0.476393542,-0.411272229,-0.630753636,-0.61706095,-0.582535883,-0.448613821,0.639405797,-0.254286697,-0.943524242,0.269952087,1.20971637
7,AL,-1.244475062,0.682347997,0.682347997,-1.134370379,Cullman,-0.434830377,-0.434830377,-0.512537166,Cullman County,-0.114305327,-0.050798986,1.160831155,-0.31156524,0.982374273,Alabama,Cullman County,-0.446155485,-0.444935616,-0.447307534,-0.469041982,-0.45984775,-0.667437894,1.189009841,-0.779775646,-0.15852541,-0.659195153,-0.422028543,-1.14604812,-1.149771416,0.334317661,0.014592898,-0.960830982,-1.200758312,0.083231094,1.331978991,1.231337988,1.566707115,-0.520975857,-0.642333474,-1.16798046,-1.062561884,-1.589180675,0.329019941,0.436676668,-0.556629547,-0.055681588,2.023484659,-0.191148032
8,AL,-1.244475062,0.682347997,0.682347997,-1.134370379,Daphne,-0.805145343,-0.805145343,-0.323045237,Baldwin County,-0.133695929,-0.13095649,-0.486256139,-0.812818663,-0.573496434,Alabama,Baldwin County,-0.368568498,-0.368134807,-0.368963261,-0.373387434,-0.382998082,-0.662405299,0.707002065,0.024888115,0.000829886,-0.678823912,-0.422028543,-0.541262224,-0.252154299,-0.325381805,-0.246855879,-0.286887761,0.187540921,1.20980281,0.291002846,-0.386643815,0.886140876,-0.808284111,-0.640174023,-1.04990863,-0.384185462,0.619996545,0.255397809,0.152855888,-0.256827393,0.184775797,-0.797415566,-0.256521704
9,AL,-1.244475062,0.682347997,0.682347997,-1.134370379,Dauphin Island,-0.179415963,-0.179415963,-0.012787613,Mobile County,-0.133695929,-0.192770742,0.491919907,0.546282447,0.532856486,Alabama,Mobile County,-0.234023248,-0.240650177,-0.227577185,-0.215003772,-0.271086882,-0.771684511,-1.111644454,3.260682858,-0.128010566,-0.460944683,-0.38341137,-1.121580356,-1.032487808,1.685219095,1.912610463,-0.862108831,1.158306551,0.835817937,0.011566771,0.272460429,0.882990107,-0.476393542,-0.411272229,-0.630753636,-0.61706095,-0.582535883,-0.448613821,0.639405797,-0.254286697,-0.943524242,0.269952087,1.20971637
