State Abbreviation,Average Household Income 2020/2021,"Percent Change in Household Income, 1984-2019","Average Yearly Percent Change in Household Income, 1984-2019",MinWage,City,Average House Price 2020/2021,"Percent Change in Housing Prices, 2000-2019","Average Yearly Percent Change in Housing Prices, 2000-2019",County Name,Violent Crime Total,Property Crime Total,Property Crime Per Capita,Violent Crime Per Capita,Total Crime Per Capita,State Name,TotalPop,Men,Women,VotingAgeCitizen,Employed,TractId,Hispanic,White,Black,Native,Asian,Pacific,Income,IncomePerCap,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment,Population
NY,72392.5,38.80352163,1.077875601,13.2,New York,705202.3333,158.4906454,7.92453227,Queens County,47959,129361,0.015584955,0.00577793,0.021362885,New York,2339280,1134031,1205249,1413921,1142363,36081057360,26.2,26.64,18.82,0.23,23.74,0.03,66931.36,29599.26,13,16.52,33.58,24.12,23.3,8.26,10.74,33.6,6.66,50.02,5.5,1.45,2.76,43.79,79.48,14.31,6.1,0.12,6.98,8405837
CA,81426.5,31.42376272,0.872882298,14,Los Angeles,809601.75,192.0987497,9.604937483,Los Angeles County,28882,85932,0.021479848,0.007219441,0.028699288,California,10105722,4979641,5126081,6218279,4805817,6037408065,47.87,27.19,7.77,0.28,14.16,0.24,66053.55,31389.41,17.32,22.19,35.24,19.39,24.14,7.92,13.32,73,9.66,6.74,2.89,2.34,5.36,30.99,79.32,11.2,9.32,0.16,7.91,3884307
IL,78529,33.27867744,0.924407707,12,Chicago,281286.875,50.43305844,2.521652922,Cook County,,,,,,Illinois,5238541,2540704,2697837,3538445,2521437,17031565847,23.6,39.57,28.68,0.1,6.22,0.02,61411.29,33055.12,17.98,22.98,36.99,19.71,23.74,5.89,13.68,59.81,8.1,21.04,4.17,2.44,4.44,33.64,83.43,12.01,4.44,0.12,10.37,2718782
TX,69501.5,24.64076451,0.684465681,7.25,Houston,213453.2917,75.17395256,3.758697628,Harris County,28899.5,97045.5,0.041424039,0.012335627,0.053759666,Texas,4525519,2251060,2274459,2605043,2180392,48201396160,42.3,31,18.62,0.17,6.33,0.05,63254.7,32015.79,18.09,25.1,33.78,17.97,22.49,12.52,13.24,78.45,11.04,3.04,1.78,2.02,3.66,28.15,83.42,9.68,6.74,0.15,6.73,2195914
PA,73360.5,47.61021431,1.322505953,7.25,Philadelphia,209375.1667,139.2453281,6.962266403,Philadelphia County,,,,,,Pennsylvania,1569657,742412,827245,1128642,665765,42101047179,12.46,36.1,42.12,0.23,6.68,0.03,44432.74,26521.81,26.15,30.87,36.96,24.2,22.46,5.43,10.95,49.5,8.33,26.65,8.47,3.44,3.6,32.91,83.35,12.65,3.91,0.09,11.82,1553165
AZ,70520.5,40.35643342,1.121012039,12.8,Phoenix,312695.9583,94.48113881,4.72405694,Maricopa County,13646,51089,0.02989479,0.007984973,0.037879763,Arizona,4155501,2055464,2100037,2778337,1929015,4013299094,29.54,57.41,4.94,1.76,3.78,0.19,64354.89,30761.27,16.13,21.52,36.47,18.39,26.72,8.7,9.73,75.7,10.83,2.32,1.72,2.67,6.75,25.7,82.69,10.95,6.22,0.14,6.34,1513367
TX,69501.5,24.64076451,0.684465681,7.25,San Antonio,229807.625,80.69469969,4.034734985,Bexar County,10881,60745,0.038139805,0.006831825,0.04497163,Texas,1892004,932577,959427,1262321,867502,48029172817,60.65,27.86,6.87,0.2,2.44,0.09,57641.8,26080.4,17.55,24.5,32.53,20.62,25.72,10.36,10.78,78.33,11.24,3.19,1.9,1.41,3.93,24.75,80.8,13.49,5.6,0.11,6.45,1409019
CA,81426.5,31.42376272,0.872882298,14,San Diego,739128.8333,158.6668922,7.93334461,San Diego County,5353.5,25334.5,0.017641423,0.003727739,0.021369162,California,3283665,1651147,1632518,2207599,1536073,6073014114,33.23,47.5,4.68,0.37,10.43,0.38,75402.8,34856.11,13.41,16.07,40.1,20.1,23.09,8.08,8.64,76.05,8.87,3.28,2.52,2.25,7.02,25.85,77.07,14.65,8.09,0.19,7.25,1355896
TX,69501.5,24.64076451,0.684465681,7.25,Dallas,251545.875,85.99812997,4.299906498,Dallas County,11322.5,46561.5,0.034334035,0.008348767,0.042682802,Texas,2552213,1257751,1294462,1473599,1252101,48113016322,38.36,32.8,20.92,0.18,5.76,0.04,62102.28,32992.27,17.72,25.54,33.43,17.86,23.81,11.88,13.02,77.83,11.08,3.19,1.51,2.04,4.36,26.95,84.34,8.8,6.7,0.17,5.97,1257676
CA,81426.5,31.42376272,0.872882298,14,San Jose,1157727.583,148.6858854,7.434294271,Santa Clara County,4375,23847,0.023162727,0.004249462,0.027412189,California,1911226,963317,947909,1162019,967294,6085506672,25.79,33.85,2.4,0.16,33.83,0.35,113117.5,49516.09,8.76,9.55,51.96,14.97,18.68,6.49,7.9,75.05,10.46,4.25,2.13,3.06,5.06,28.03,84.24,9.46,6.19,0.11,5.72,998537
