,State Abbreviation,Average Household Income 2020/2021,"Percent Change in Household Income, 1984-2019","Average Yearly Percent Change in Household Income, 1984-2019",MinWage,City,Average House Price 2020/2021,"Percent Change in Housing Prices, 2000-2019","Average Yearly Percent Change in Housing Prices, 2000-2019",Violent Crime Total,Property Crime Total,Property Crime Per Capita,Violent Crime Per Capita,Total Crime Per Capita,State,County,TotalPop,Men,Women,VotingAgeCitizen,Employed,Hispanic,White,Black,Native,Asian,Pacific,Income,IncomePerCap,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment,Population
0,NY,-0.136317125,0.85122595,0.85122595,0.855108088,New York,1.045961134,1.230130631,1.230130631,18.37820404,14.96337621,-0.66245711,0.423151161,-0.443038613,New York,Queens County,0.380140481,0.364510599,0.395281024,0.322846277,0.40458154,0.296896531,-1.569586098,0.574011767,-0.177458982,2.771585796,-0.405454707,0.07971342,-0.324924203,-0.455057936,-0.427106673,-0.466318685,1.97823756,-0.248730897,-0.10393662,-0.343838327,-5.687753439,-1.694704112,7.58947673,1.627810829,-0.553042491,-1.312925312,3.828219599,-0.203595986,0.226288355,0.006249377,-0.591107781,-0.016201184,23.67382164
1,CA,0.737961649,0.014144149,0.014144149,1.13994777,Los Angeles,1.393000576,1.882940169,1.882940169,10.94683889,9.795924868,-0.165898454,0.833071897,0.066809612,California,Los Angeles County,3.82385639,3.82666945,3.820850223,3.759571544,3.818642505,1.561271066,-1.541543912,-0.340362744,-0.149533307,1.260841995,0.155716684,0.028345693,-0.093837543,0.366897353,0.341592766,-0.239607348,0.288314386,0.172653729,-0.223901526,0.321864126,-0.451364188,0.086928923,0.396169628,0.092611875,0.256218109,0.250711713,1.128201071,-0.239061666,-0.512410684,1.785999617,0.071967023,0.417354867,10.7378196
2,IL,0.457551781,0.224546057,0.224546057,0.427848563,Chicago,-0.363197932,-0.86879833,-0.86879833,,,,,,Illinois,Cook County,1.665701003,1.630922268,1.699331664,1.842592581,1.689773796,0.145194926,-0.91033979,1.389915177,-0.250065736,0.008722393,-0.432177154,-0.243310295,0.121185421,0.492473855,0.448695509,-0.000604433,0.402643226,-0.028005617,-0.940162587,0.414752841,-2.204358458,-0.839520255,2.772886161,0.845506381,0.347146266,-0.302575235,1.687189282,0.671962987,-0.320016401,-0.911261617,-0.591107781,1.564180549,7.403277134
3,TX,-0.416097945,-0.75524743,-0.75524743,-1.263387054,Houston,-0.588687017,-0.388226991,-0.388226991,10.95365594,11.11827791,1.514108395,2.287956398,1.808397208,Texas,Harris County,1.349540114,1.370159076,1.32943297,1.174897493,1.371945751,1.236279549,-1.347288039,0.557462002,-0.210969791,0.026069139,-0.352009812,-0.135437542,-0.01297948,0.513403272,0.736110467,-0.439004066,-0.219019844,-0.655066071,1.399153094,0.30122219,0.27295869,0.90648012,-0.218785,-0.560288829,-0.034751994,-0.771666342,0.52913446,0.669746382,-0.873446871,0.359988555,-0.093801678,-0.132748509,5.907362805
4,PA,-0.042637486,1.850164027,1.850164027,-1.263387054,Philadelphia,-0.602243321,0.856306311,0.856306311,,,,,,Pennsylvania,Philadelphia County,0.038882159,0.011940477,0.06502488,0.118776233,-0.039571608,-0.504788106,-1.087260493,2.502059378,-0.177458982,0.081263328,-0.405454707,-1.236861878,-0.722185684,2.04695874,1.518367215,-0.004701626,2.00681977,-0.670115522,-1.102468049,-0.289653244,-3.574591279,-0.702928389,3.70529034,3.374761362,1.256427839,-0.807750273,1.53320385,0.654230147,-0.168001164,-1.204201874,-1.088413885,2.240155036,4.068471461
5,AZ,-0.317482706,1.02737184,1.02737184,0.712688246,Phoenix,-0.258789391,-0.01320092,-0.01320092,5.011719145,5.650088975,0.542937522,1.050765641,0.704812809,Arizona,Maricopa County,1.185470535,1.194066227,1.177043215,1.29886075,1.137681474,0.491774748,-0.000753236,-0.574541917,0.677066663,-0.376059953,0.022104448,-0.071056572,-0.174922801,0.140479113,0.250758793,-0.071622442,-0.068963241,1.466906507,0.051312083,-0.604442776,-0.092525331,0.781765807,-0.338451846,-0.595580759,0.556281028,1.086656122,0.012334038,0.507934218,-0.571791636,0.072575473,-0.259570379,-0.314562336,3.954610222
6,TX,-0.416097945,-0.75524743,-0.75524743,-1.263387054,San Antonio,-0.534322741,-0.280991059,-0.280991059,3.934625019,6.799019647,1.237459623,0.7228461,1.1976668,Texas,Bexar County,0.181813953,0.183143859,0.180510213,0.214401496,0.148431958,2.306942803,-1.50738343,-0.414836686,-0.194214387,-0.587374848,-0.245120024,-0.463893487,-0.779166363,0.410658861,0.654766611,-0.609720434,0.727765866,0.965258143,0.637023098,-0.333517359,0.257010296,1.025255656,-0.193854407,-0.489704969,-0.589413754,-0.609288651,-0.188057962,0.088995873,0.031518834,-0.270109356,-0.756876483,-0.263281513,3.656072793
7,CA,0.737961649,0.014144149,0.014144149,1.13994777,San Diego,1.158737948,1.233554079,1.233554079,1.781410632,2.58565909,-0.48922969,-0.15985953,-0.442602381,California,San Diego County,0.798889974,0.83006424,0.768579224,0.890591902,0.771489366,0.707074334,-0.506022448,-0.596056612,-0.099267093,0.672629638,0.529830944,0.575445542,0.353671394,-0.37704829,-0.488114565,0.42413789,0.541981501,-0.354077053,-0.167447453,-0.885689161,-0.046009183,-0.382234443,-0.178896051,-0.125021693,0.174382767,1.249033813,0.04397488,-0.737797791,0.30704645,1.106157134,0.569273126,0.109669928,3.504089009
8,TX,-0.416097945,-0.75524743,-0.75524743,-1.263387054,Dallas,-0.462061512,-0.177976327,-0.177976327,4.106609488,5.11137899,0.91687907,1.154217336,1.038603181,Texas,Dallas County,0.474557044,0.475894305,0.473225018,0.365536037,0.506849024,1.006393271,-1.255513611,0.747784298,-0.205384656,-0.063818541,-0.378732259,-0.20287491,0.113072248,0.443004324,0.795762628,-0.486804649,-0.258320383,0.007109769,1.173336799,0.244456864,0.190558656,0.930235227,-0.193854407,-0.719102514,-0.016566363,-0.350687143,0.276007723,0.873674042,-1.082467821,0.337879856,0.237735724,-0.487052378,3.223083659
9,CA,0.737961649,0.014144149,0.014144149,1.13994777,San Jose,2.550223471,1.039681305,1.039681305,1.40024007,2.408667129,-0.024140483,-0.011497651,-0.022638207,California,Santa Clara County,0.190337175,0.210818731,0.170447117,0.142651969,0.241430525,0.272974355,-1.201978528,-0.784723932,-0.216554926,4.362755416,0.449663602,2.78243612,2.24609706,-1.26179183,-1.372051132,2.043894788,-1.290852724,-2.566346336,-0.728459811,-1.076627074,-0.178912464,0.562031066,-0.017678216,-0.354419238,0.910900841,0.070292056,0.503821786,0.851507992,-0.925702108,0.055993949,-0.756876483,-0.603599703,2.481692441
